Rockin' Daddy	1950	date
Rock Me Baby	1950	date
Recession Blues	1950	date
Pretty Thing (version 2)	1950	date
Pretty Thing (version 1)	1950	date
Please Love Me	1950	date
Oh Red! (Take 2)	1950	date
Next Time You See Me	1950	date
Nature	1950	date
Natchez Burning	1950	date
My Last Affair (Take 1)	1950	date
My Baby Walked Off	1950	date
Mr. Airplane Man	1950	date
Mother-In-law Blues	1950	date
Mean Mistreater	1950	date
Maudie (Version 1)	1950	date
Louisiana Blues	1950	date
Lonesome Road Blues	1950	date
Little Wheel	1950	date
Just My Kind	1950	date
I've Been Abused	1950	date
(I'm Your)Hoochie Coochie Man	1950	date
I'm The Wolf	1950	date
I'm Sorry	1950	date
I'm Looking For AWoman	1950	date
I'mIn The Mood (Version 1)	1950	date
I'm A Man	1950	date
I'll Be Around	1950	date
I Just Want To Make Love To You	1950	date
I Didn't Know	1950	date
Hush Your Mouth	1950	date
How Can You Do It?	1950	date
Honey Bee	1950	date
Hobo Blues	1950	date
Hey, Bo Diddley	1950	date
Good Mornin' Lil' School Girl	1950	date
Everyday I Have The Blues (Version 1)	1950	date
Down At The Landing	1950	date
Dorothy Mae	1950	date
Dimples	1950	date
Diddley Daddy	1950	date
Decoration Day	1950	date
Dearest Darling	1950	date
Dark Is The Night	1950	date
Crawlin' Kingsnake	1950	date
Crawlin' Black Spider	1950	date
Cold Chills All Over Me	1950	date
Church Bell Tone	1950	date
Change My Way	1950	date
Cadillac Daddy (Mr. Highway Man)	1950	date
Bring It To Jerome	1950	date
Baby, Boogie Chillun	1950	date
Bo Diddley (version 2)	1950	date
Bluebird Blues	1950	date
Baby Please Don't Go	1950	date
Baby, Baby Lee (Version 1)	1950	date
Drinkin' C.V. Wine	1950	date
You Upset Me Baby	1950	date
You Gonna Wreck My Life	1950	date
You Can't Be Beat	1950	date
Work For Your Money	1950	date
Wobblin' Baby	1950	date
Why I Sing The Blues	1950	date
Who Will Be Next	1950	date
Who Do You Love	1950	date
They Call Me Muddy Waters	1950	date
Sweet Home Chicago	1950	date
Sometimes	1950	date
Sittin' On Top Of The World	1950	date
She's Dynamite	1950	date
She's Alright	1950	date
Say Man	1950	date
Rockin' Daddy	1950	date
Rock Me Baby	1950	date
Recession Blues	1950	date
Pretty Thing (version 2)	1950	date
Pretty Thing (version 1)	1950	date
Please Love Me	1950	date
Oh Red! (Take 2)	1950	date
Next Time You See Me	1950	date
Nature	1950	date
Natchez Burning	1950	date
