Albert King	Callin' On My Darlin'	Willie Dixon
Albert King	Callin' On My Darlin'	Chester Burnett a.k.a. Howlin' Wolf
Albert King	Call My Job	Detroit Junior
Albert King	Call My Job	Al Perkins
Albert King	Born Under A Bad Sign	Booker T. Jones
Albert King	Born Under A Bad Sign	William Bell
Albert King	Blues Power	Albert King
Albert King	Blues At Sunrise	Albert King
Albert King	Answer To The Laundromat Blues	Albert King
Albert King	Almost Lost My Mind	Hunter
Albert King	Ain't Nothing You Can Do	Brooks
Albert King	(Ain't It) A Real Good Sign	Ross
Alvin Youngblood Hart	Treat Her Like A Lady	E. Cornelius Jr.
Alvin Youngblood Hart	Once Again	Alvin Youngblood Hart
Alvin Youngblood Hart	Manos Arriba	Alvin Youngblood Hart
Alvin Youngblood Hart	Hillbilly Willie's Blues	Blind Willie McTell
Alvin Youngblood Hart	Fightin' Hard	Alvin Youngblood Hart
Alvin Youngblood Hart	Electric Eel	Alvin Youngblood Hart
Alvin Youngblood Hart	Cryin' Shame	Black Oak Arkansas
Alvin Youngblood Hart	Cowboy Boots	B. Knight
Alvin Youngblood Hart	Big Mama's Door	Alvin Youngblood Hart
Alvin Youngblood Hart	A Prophet's Mission	Alvin Youngblood Hart
B.B. King	You've Been An Angel	B.B. King
B.B. King	You've Been An Angel	Jules Taub
B.B. King	You've Become A Habbit To Me	Jerry Williams
B.B. King	You've Always Got The Blues	Mickey Newbury
B.B. King	You Upset Me Baby	B.B. King
B.B. King	You Upset Me Baby	Joe Josea
B.B. King	You Shook Me	Willie Dixon
B.B. King	You Shook Me	J.B. Lenoir
B.B. King	You Shouldn't Have Left Me	B.B. King
B.B. King	You Shouldn't Have Left Me	Joe Josea
B.B. King	You're The Boss	Jerry Leiber
B.B. King	You're The Boss	Mike Stoller
B.B. King	You're Still My Woman	Dave Clark
B.B. King	You're Still My Woman	B.B. King
B.B. King	You're On Top (Version 2)	B.B. King
B.B. King	You're On Top (Version 2)	Sam Ling
B.B. King	You're On Top (Version 1)	B.B. King
B.B. King	You're On Top (Version 1)	Sam Ling
B.B. King	You Put It On Me	Maya Angelou
B.B. King	You Put It On Me	Quincy Jones
B.B. King	You Don't Know	B.B. King
B.B. King	You Don't Know	Sam Ling
B.B. King	You And Me, Me And You	Will Jennings
B.B. King	You And Me, Me And You	Troy Seals
B.B. King	Worry, Worry, Worry	Plumber Davis
B.B. King	Worry, Worry, Worry	Jules Taub
B.B. King	Worried Life	probably Lightnin' Hopkins
B.B. King	Worried Life Blues	probably Lightnin' Hopkins
B.B. King	Woke Up This Morning (My Baby's Gone)	B.B. King
B.B. King	Woke Up This Morning (My Baby's Gone)	Jules Taub
B.B. King	Why I Sing The Blues	B.B. King
B.B. King	Why I Sing The Blues	Dave Clark
B.B. King	Why Do Things Happen	B.B. King
B.B. King	Why Do Things Happen	Jules Taub
B.B. King	Who Are You	Dave Crawford
B.B. King	Who Are You	Howard Johnson
B.B. King	There's Something On Your Mind	Cecil James McNeely
B.B. King	There Is Always One More Time	Hirsch
B.B. King	There Is Always One More Time	Doc Pomus
B.B. King	The Thrill Is Gone	Roy Hawkins
B.B. King	The Thrill Is Gone	Rick Darnell
B.B. King	The Lowdown	Will Jennings
B.B. King	The Lowdown	Joe Sample
B.B. King	The Letter	B.B. King
B.B. King	The Letter	Adams
B.B. King	The Blues Come Over Me	Will Jennings
B.B. King	The Blues Come Over Me	Joe Sample
B.B. King	The Beginning Of The End	B.B. King
B.B. King	The Beginning Of The End	Will Jennings
B.B. King	Ten Long Years (Version 2)	B.B. King
B.B. King	Ten Long Years (Version 2)	Jules Bihari
B.B. King	Ten Long Years (Version 1)	B.B. King
B.B. King	Ten Long Years (Version 1)	Jules Bihari
B.B. King	Tell Me Baby	B.B. King
B.B. King	Tell Me Baby	Sam Ling
B.B. King	Teardrops From My Eyes	Rudolph Toombs
B.B. King	Take Off Your Shoes	Betty Crutcher
B.B. King	Take Off Your Shoes	Frederick Knight
B.B. King	Take It Home	Wilton Felder
B.B. King	Take It Home	Will Jennings
B.B. King	Sweet Sixteen (Version 2)	B.B. King
B.B. King	Sweet Sixteen (Version 2)	Joe Josea
B.B. King	Sweet Sixteen (Version 1)	B.B. King
B.B. King	Sweet Sixteen (Version 1)	Joe Josea
B.B. King	Sweet Little Angel (Version 2)	B.B. King
B.B. King	Sweet Little Angel (Version 2)	Jules Taub
B.B. King	Sweet Little Angel (Version 1)	B.B. King
B.B. King	Sweet Little Angel (Version 1)	Jules Taub
B.B. King	Sure We Had A Wonderful Time Last Night	Clause Demetrius
B.B. King	Sure We Had A Wonderful Time Last Night	Fleecie Moore
B.B. King	Sundown	probably Eddie "Son" House
B.B. King	Sugar Mama	Sonny Boy Williamson I (John Lee)
B.B. King	Street Life	Will Jennings
B.B. King	Street Life	Joe Sample
B.B. King	Stop Leadin' Me On	Hunt
B.B. King	Standing On The Edge	Jerry Williams
B.B. King	Spirit In The Dark	Aretha Franklin
B.B. King	Something You Got	Chris Kenner
B.B. King	Something Up My Sleeve	Arthur Adams
B.B. King	Someday Baby	Sam "Lightnin'" Hopkins or Lowell Fulson
B.B. King	Somebody Done Changed The Lock On My Door	William Weldon
B.B. King	Sneakin' Around	Jessie Mae Robinson
B.B. King	Slowly Losing My Mind	B.B. King
B.B. King	Slowly Losing My Mind	Ferdinand Washington
B.B. King	Sloppy Drunk	Jimmy Rogers
B.B. King	Since I Met You Baby (With Gary Moore)	Gary Moore
B.B. King	Since I Fell For You	Buddy Johnson
B.B. King	She's My Baby	B.B. King
B.B. King	She's Dynamite	B.B. King
B.B. King	Shake It Up And Go	B.B. King
B.B. King	Shake It Up And Go	Jules Bihari
B.B. King	Sell My Monkey	B.B. King
B.B. King	Second Hand Woman	Will Jennings
B.B. King	Second Hand Woman	Joe Sample
B.B. King	Saturday Night Fish Fry	E. Walsh
B.B. King	Saturday Night Fish Fry	Louis Jordan
B.B. King	Same Old Story (Same Old Song)	B.B. King
B.B. King	Rusty Dusty Blues (Mama Mama Blues)	J. Mayo Williams
B.B. King	Roll, Roll, Roll	Will Jennings
B.B. King	Roll, Roll, Roll	Joe Sample
B.B. King	Rock Me Baby	B.B. King
B.B. King	Rock Me Baby	Joe Josea
B.B. King	Riding With The King	John Hiatt
B.B. King	Recession Blues	B.B. King
B.B. King	Power Of The Blues	Pete Wingfield
B.B. King	Please Set A Date	Ernest Lawlers
B.B. King	Please Love Me	B.B. King
B.B. King	Please Love Me	Jules Taub
B.B. King	Please Accept My Love	B.B. King
B.B. King	Please Accept My Love	Sam Ling
B.B. King	Playing With My Friends	Robert Cray
B.B. King	Playing With My Friends	Dennis Walker
B.B. King	Peace To The World	Trade Martin
B.B. King	Peace Of Mind (Version 2)	Joe Josea
B.B. King	Peace Of Mind (Version 2)	B.B. King
B.B. King	Peace Of Mind (Version 1)	B.B. King
B.B. King	Peace Of Mind (Version 1)	Joe Josea
B.B. King	Paying The Cost To Be The Boss	B.B. King
B.B. King	Patches	George Jones
B.B. King	Patches	B.B. King
B.B. King	Part Time Love	Clay Hammond
B.B. King	One Of Those Nights	Troy Seals
B.B. King	One Of Those Nights	Conway Twitty
B.B. King	On My Word Honor	Katherine Harrison
B.B. King	On My Word Honor	Jean Miles
B.B. King	Nobody Knows You When You're Down And Out	Ida Cox
B.B. King	Niji Baby	B.B. King
B.B. King	Nightlife Please Send Me Someone To Love	Willie Nelson
B.B. King	Nightlife Please Send Me Someone To Love	Paul Buskirk
B.B. King	Nightlife Please Send Me Someone To Love	Walt Breeland
B.B. King	Night Life	Willie Nelson
B.B. King	Night Life	Paul Buskirk
B.B. King	Night Life	Walt Breeland
B.B. King	Never Trust A Woman	Bill Doggett
B.B. King	Never Trust A Woman	Louis Jordan
B.B. King	Never Make A Move Too Soon	Nesbert "Stix" Hooper
B.B. King	Never Make A Move Too Soon	Will Jennings
B.B. King	My Heart Belongs To You	J. Miles
B.B. King	My Heart Belongs To You	K. Harrison
B.B. King	My Gal Keeps Me Cryin'	Peter Chatman a.k.a. Memphis Slim
B.B. King	Mr. Pawnbroker	B.B. King
B.B. King	Mr. Pawnbroker	Jules Taub
B.B. King	Monday Woman	Willie Mabon
B.B. King	Midnight Believer	Will Jennings
B.B. King	Midnight Believer	Joe Sample
B.B. King	Mean Old World	Big Bill Broonzy
B.B. King	Mean And Evil	Arthur Adams
B.B. King	Marry You	Doyle Bramhall II
B.B. King	Marry You	Susannah Salvoin
B.B. King	Makin' Love Is Good For You	Tony Joe White
B.B. King	Make Love To Me	Allan Copeland
B.B. King	Make Love To Me	Paul Mares
B.B. King	Make Love To Me	Walter Melrose
B.B. King	Make Love To Me	Bill Norvas
B.B. King	Make Love To Me	Benny Pollock
B.B. King	Make Love To Me	Mel Stizel
B.B. King	Make Love To Me	George Brunies
B.B. King	Make Love To Me	Leon Roppolo (...that's all folks...)
B.B. King	Love Me Tender	Vera Matson
B.B. King	Love Me Tender	Elvis Presley
B.B. King	Long Nights	B.B. King
B.B. King	Long Nights	Jules Taub
B.B. King	Lets Straighten It Out	Benny Latimore
B.B. King	Lets Get Down To Business	B.B. King
B.B. King	Let The Good Times Roll (Version 2)	Fleecie Moore
B.B. King	Let The Good Times Roll (Version 2)	Sam Theard
B.B. King	Let The Good Times Roll (Version 1)	Fleecie Moore
B.B. King	Let The Good Times Roll (Version 1)	Sam Theard
B.B. King	Let Me Make You Cry A Little Longer	Will Jennings
B.B. King	Let Me Make You Cry A Little Longer	Joe Sample
B.B. King	Lay Another Log On The Fire	Knight
B.B. King	Knock Me A Kiss	Mike Jackson
B.B. King	Knock Me A Kiss	Andy Razaf
B.B. King	Key To The Highway	Big Bill Broonzy
B.B. King	Key To The Highway	Charles Segar
B.B. King	Key To My Kingdom	Davis
B.B. King	Key To My Kingdom	Joe Josea
B.B. King	Key To My Kingdom	Baum
B.B. King	Just A Little Love	B.B. King
B.B. King	Just A Dream	probably Big Bill Broonzy
B.B. King	Jack, You're Dead	Walter Bishop
B.B. King	Jack, You're Dead	Dick Miles
B.B. King	It's Still Called The Blues	Tony Joe White
B.B. King	It's My Own Fault	John Lee Hooker
B.B. King	It's A Great, Great Pleasure	Louis Jordan
B.B. King	It's A Great, Great Pleasure	William Tennyson Jr.
B.B. King	It Had To Be You	Isham Jones
